n_ind	rep	grp	method	n_called	TP	FP	FN	FDR	power	precision	F1
100	39	Consensus rule	4 of 7	26	22	4	28	0.153846153846154	0.44	0.846153846153846	0.578947368421053
100	39	Consensus rule	5 of 7	18	15	3	35	0.166666666666667	0.3	0.833333333333333	0.441176470588235
100	39	Consensus rule	6 of 7	11	11	0	39	0	0.22	1	0.360655737704918
100	39	Consensus rule	Intersect (7 of 7)	8	8	0	42	0	0.16	1	0.275862068965517
100	40	Individual tool	edgeR	211	40	171	10	0.81042654028436	0.8	0.18957345971564	0.306513409961686
100	40	Individual tool	DESeq2	58	25	33	25	0.568965517241379	0.5	0.431034482758621	0.462962962962963
100	40	Individual tool	ALDEx2	20	17	3	33	0.15	0.34	0.85	0.485714285714286
100	40	Individual tool	metaSeq	31	23	8	27	0.258064516129032	0.46	0.741935483870968	0.567901234567901
100	40	Individual tool	ADAPT	26	24	2	26	0.0769230769230769	0.48	0.923076923076923	0.631578947368421
100	40	Individual tool	ANCOMBC2	59	17	42	33	0.711864406779661	0.34	0.288135593220339	0.311926605504587
100	40	Individual tool	MaAsLin3	10	10	0	40	0	0.2	1	0.333333333333333
100	40	Consensus rule	Union (1 of 7)	233	41	192	9	0.824034334763948	0.82	0.175965665236052	0.289752650176678
100	40	Consensus rule	2 of 7	81	28	53	22	0.654320987654321	0.56	0.345679012345679	0.427480916030534
100	40	Consensus rule	3 of 7	34	25	9	25	0.264705882352941	0.5	0.735294117647059	0.595238095238095
100	40	Consensus rule	4 of 7	27	23	4	27	0.148148148148148	0.46	0.851851851851852	0.597402597402597
100	40	Consensus rule	5 of 7	20	19	1	31	0.05	0.38	0.95	0.542857142857143
100	40	Consensus rule	6 of 7	12	12	0	38	0	0.24	1	0.387096774193548
100	40	Consensus rule	Intersect (7 of 7)	8	8	0	42	0	0.16	1	0.275862068965517
100	41	Individual tool	edgeR	168	32	136	18	0.80952380952381	0.64	0.19047619047619	0.293577981651376
100	41	Individual tool	DESeq2	65	25	40	25	0.615384615384615	0.5	0.384615384615385	0.434782608695652
100	41	Individual tool	ALDEx2	25	20	5	30	0.2	0.4	0.8	0.533333333333333
100	41	Individual tool	metaSeq	27	23	4	27	0.148148148148148	0.46	0.851851851851852	0.597402597402597
100	41	Individual tool	ADAPT	27	25	2	25	0.0740740740740741	0.5	0.925925925925926	0.649350649350649
100	41	Individual tool	ANCOMBC2	59	17	42	33	0.711864406779661	0.34	0.288135593220339	0.311926605504587
100	41	Individual tool	MaAsLin3	15	14	1	36	0.0666666666666667	0.28	0.933333333333333	0.430769230769231
100	41	Consensus rule	Union (1 of 7)	188	34	154	16	0.819148936170213	0.68	0.180851063829787	0.285714285714286
100	41	Consensus rule	2 of 7	85	28	57	22	0.670588235294118	0.56	0.329411764705882	0.414814814814815
100	41	Consensus rule	3 of 7	38	25	13	25	0.342105263157895	0.5	0.657894736842105	0.568181818181818
100	41	Consensus rule	4 of 7	29	25	4	25	0.137931034482759	0.5	0.862068965517241	0.632911392405063
100	41	Consensus rule	5 of 7	22	20	2	30	0.0909090909090909	0.4	0.909090909090909	0.555555555555556
100	41	Consensus rule	6 of 7	14	14	0	36	0	0.28	1	0.4375
100	41	Consensus rule	Intersect (7 of 7)	10	10	0	40	0	0.2	1	0.333333333333333
100	42	Individual tool	edgeR	162	32	130	18	0.802469135802469	0.64	0.197530864197531	0.30188679245283
100	42	Individual tool	DESeq2	47	25	22	25	0.468085106382979	0.5	0.531914893617021	0.515463917525773
100	42	Individual tool	ALDEx2	19	19	0	31	0	0.38	1	0.550724637681159
100	42	Individual tool	metaSeq	27	23	4	27	0.148148148148148	0.46	0.851851851851852	0.597402597402597
100	42	Individual tool	ADAPT	24	24	0	26	0	0.48	1	0.648648648648649
100	42	Individual tool	ANCOMBC2	69	15	54	35	0.782608695652174	0.3	0.217391304347826	0.252100840336134
100	42	Individual tool	MaAsLin3	10	10	0	40	0	0.2	1	0.333333333333333
100	42	Consensus rule	Union (1 of 7)	201	37	164	13	0.81592039800995	0.74	0.18407960199005	0.294820717131474
100	42	Consensus rule	2 of 7	59	26	33	24	0.559322033898305	0.52	0.440677966101695	0.477064220183486
100	42	Consensus rule	3 of 7	35	25	10	25	0.285714285714286	0.5	0.714285714285714	0.588235294117647
100	42	Consensus rule	4 of 7	28	25	3	25	0.107142857142857	0.5	0.892857142857143	0.641025641025641
100	42	Consensus rule	5 of 7	18	18	0	32	0	0.36	1	0.529411764705882
100	42	Consensus rule	6 of 7	9	9	0	41	0	0.18	1	0.305084745762712
100	42	Consensus rule	Intersect (7 of 7)	8	8	0	42	0	0.16	1	0.275862068965517
100	43	Individual tool	edgeR	181	29	152	21	0.839779005524862	0.58	0.160220994475138	0.251082251082251
100	43	Individual tool	DESeq2	36	24	12	26	0.333333333333333	0.48	0.666666666666667	0.558139534883721
100	43	Individual tool	ALDEx2	15	15	0	35	0	0.3	1	0.461538461538462
100	43	Individual tool	metaSeq	23	21	2	29	0.0869565217391304	0.42	0.91304347826087	0.575342465753425
100	43	Individual tool	ADAPT	26	25	1	25	0.0384615384615385	0.5	0.961538461538462	0.657894736842105
100	43	Individual tool	ANCOMBC2	71	11	60	39	0.845070422535211	0.22	0.154929577464789	0.181818181818182
100	43	Individual tool	MaAsLin3	10	8	2	42	0.2	0.16	0.8	0.266666666666667
100	43	Consensus rule	Union (1 of 7)	213	31	182	19	0.854460093896714	0.62	0.145539906103286	0.23574144486692
100	43	Consensus rule	2 of 7	68	27	41	23	0.602941176470588	0.54	0.397058823529412	0.457627118644068
100	43	Consensus rule	3 of 7	27	23	4	27	0.148148148148148	0.46	0.851851851851852	0.597402597402597
100	43	Consensus rule	4 of 7	24	22	2	28	0.0833333333333333	0.44	0.916666666666667	0.594594594594595
100	43	Consensus rule	5 of 7	14	14	0	36	0	0.28	1	0.4375
100	43	Consensus rule	6 of 7	9	9	0	41	0	0.18	1	0.305084745762712
100	43	Consensus rule	Intersect (7 of 7)	7	7	0	43	0	0.14	1	0.245614035087719
100	44	Individual tool	edgeR	118	28	90	22	0.76271186440678	0.56	0.23728813559322	0.333333333333333
100	44	Individual tool	DESeq2	38	22	16	28	0.421052631578947	0.44	0.578947368421053	0.5
100	44	Individual tool	ALDEx2	18	18	0	32	0	0.36	1	0.529411764705882
100	44	Individual tool	metaSeq	23	21	2	29	0.0869565217391304	0.42	0.91304347826087	0.575342465753425
100	44	Individual tool	ADAPT	25	24	1	26	0.04	0.48	0.96	0.64
100	44	Individual tool	ANCOMBC2	76	18	58	32	0.763157894736842	0.36	0.236842105263158	0.285714285714286
100	44	Individual tool	MaAsLin3	9	9	0	41	0	0.18	1	0.305084745762712
100	44	Consensus rule	Union (1 of 7)	160	29	131	21	0.81875	0.58	0.18125	0.276190476190476
100	44	Consensus rule	2 of 7	54	25	29	25	0.537037037037037	0.5	0.462962962962963	0.480769230769231
100	44	Consensus rule	3 of 7	29	24	5	26	0.172413793103448	0.48	0.827586206896552	0.607594936708861
100	44	Consensus rule	4 of 7	23	21	2	29	0.0869565217391304	0.42	0.91304347826087	0.575342465753425
100	44	Consensus rule	5 of 7	19	19	0	31	0	0.38	1	0.550724637681159
100	44	Consensus rule	6 of 7	13	13	0	37	0	0.26	1	0.412698412698413
100	44	Consensus rule	Intersect (7 of 7)	9	9	0	41	0	0.18	1	0.305084745762712
100	45	Individual tool	edgeR	190	33	157	17	0.826315789473684	0.66	0.173684210526316	0.275
100	45	Individual tool	DESeq2	56	24	32	26	0.571428571428571	0.48	0.428571428571429	0.452830188679245
100	45	Individual tool	ALDEx2	23	23	0	27	0	0.46	1	0.63013698630137
100	45	Individual tool	metaSeq	35	25	10	25	0.285714285714286	0.5	0.714285714285714	0.588235294117647
100	45	Individual tool	ADAPT	28	24	4	26	0.142857142857143	0.48	0.857142857142857	0.615384615384615
100	45	Individual tool	ANCOMBC2	56	17	39	33	0.696428571428571	0.34	0.303571428571429	0.320754716981132
100	45	Individual tool	MaAsLin3	16	15	1	35	0.0625	0.3	0.9375	0.454545454545455
100	45	Consensus rule	Union (1 of 7)	207	33	174	17	0.840579710144927	0.66	0.159420289855072	0.256809338521401
100	45	Consensus rule	2 of 7	78	27	51	23	0.653846153846154	0.54	0.346153846153846	0.421875
100	45	Consensus rule	3 of 7	38	24	14	26	0.368421052631579	0.48	0.631578947368421	0.545454545454545
100	45	Consensus rule	4 of 7	27	24	3	26	0.111111111111111	0.48	0.888888888888889	0.623376623376623
100	45	Consensus rule	5 of 7	24	23	1	27	0.0416666666666667	0.46	0.958333333333333	0.621621621621622
100	45	Consensus rule	6 of 7	16	16	0	34	0	0.32	1	0.484848484848485
100	45	Consensus rule	Intersect (7 of 7)	14	14	0	36	0	0.28	1	0.4375
100	46	Individual tool	edgeR	209	33	176	17	0.842105263157895	0.66	0.157894736842105	0.254826254826255
100	46	Individual tool	DESeq2	50	26	24	24	0.48	0.52	0.52	0.52
100	46	Individual tool	ALDEx2	20	19	1	31	0.05	0.38	0.95	0.542857142857143
100	46	Individual tool	metaSeq	36	24	12	26	0.333333333333333	0.48	0.666666666666667	0.558139534883721
100	46	Individual tool	ADAPT	27	25	2	25	0.0740740740740741	0.5	0.925925925925926	0.649350649350649
100	46	Individual tool	ANCOMBC2	82	15	67	35	0.817073170731707	0.3	0.182926829268293	0.227272727272727
100	46	Individual tool	MaAsLin3	14	14	0	36	0	0.28	1	0.4375
100	46	Consensus rule	Union (1 of 7)	236	35	201	15	0.851694915254237	0.7	0.148305084745763	0.244755244755245
100	46	Consensus rule	2 of 7	89	27	62	23	0.696629213483146	0.54	0.303370786516854	0.388489208633094
100	46	Consensus rule	3 of 7	38	25	13	25	0.342105263157895	0.5	0.657894736842105	0.568181818181818
100	46	Consensus rule	4 of 7	29	24	5	26	0.172413793103448	0.48	0.827586206896552	0.607594936708861
100	46	Consensus rule	5 of 7	23	22	1	28	0.0434782608695652	0.44	0.956521739130435	0.602739726027397
