replicate	tool	TP	FP	FN	precision	recall	F1	empirical_FDR	n_called
56	Union	83	781	17	0.096064815	0.83	0.17219917	0.903935185	864
56	Vote_2of7	76	224	24	0.253333333	0.76	0.38	0.746666667	300
56	Vote_3of7	69	29	31	0.704081633	0.69	0.696969697	0.295918367	98
56	Vote_4of7	57	4	43	0.93442623	0.57	0.708074534	0.06557377	61
56	Vote_5of7	48	1	52	0.979591837	0.48	0.644295302	0.020408163	49
56	Vote_6of7	29	0	71	1	0.29	0.449612403	0	29
56	Intersect	23	0	77	1	0.23	0.37398374	0	23
56	Fisher	81	483	19	0.143617021	0.81	0.243975904	0.856382979	564
56	Stouffer	78	312	22	0.2	0.78	0.318367347	0.8	390
56	Cauchy	82	545	18	0.130781499	0.82	0.225584594	0.869218501	627
57	edgeR	77	779	23	0.089953271	0.77	0.161087866	0.910046729	856
57	DESeq2	63	117	37	0.35	0.63	0.45	0.65	180
57	ALDEx2	54	1	46	0.981818182	0.54	0.696774194	0.018181818	55
57	metaSeq	66	10	34	0.868421053	0.66	0.75	0.131578947	76
57	ADAPT	70	12	30	0.853658537	0.7	0.769230769	0.146341463	82
57	ANCOMBC2	41	330	59	0.110512129	0.41	0.174097665	0.889487871	371
57	MaAsLin3	35	9	65	0.795454545	0.35	0.486111111	0.204545455	44
57	Union	77	898	23	0.078974359	0.77	0.143255814	0.921025641	975
57	Vote_2of7	70	286	30	0.196629213	0.7	0.307017544	0.803370787	356
57	Vote_3of7	68	60	32	0.53125	0.68	0.596491228	0.46875	128
57	Vote_4of7	63	11	37	0.851351351	0.63	0.724137931	0.148648649	74
57	Vote_5of7	53	3	47	0.946428571	0.53	0.679487179	0.053571429	56
57	Vote_6of7	41	0	59	1	0.41	0.581560284	0	41
57	Intersect	34	0	66	1	0.34	0.507462687	0	34
57	Fisher	74	577	26	0.113671275	0.74	0.197070573	0.886328725	651
57	Stouffer	73	388	27	0.15835141	0.73	0.260249554	0.84164859	461
57	Cauchy	75	652	25	0.103163686	0.75	0.181378476	0.896836314	727
58	edgeR	82	731	18	0.100861009	0.82	0.179627601	0.899138991	813
58	DESeq2	66	129	34	0.338461538	0.66	0.447457627	0.661538462	195
58	ALDEx2	57	1	43	0.982758621	0.57	0.721518987	0.017241379	58
58	metaSeq	68	5	32	0.931506849	0.68	0.786127168	0.068493151	73
58	ADAPT	74	6	26	0.925	0.74	0.822222222	0.075	80
58	ANCOMBC2	32	309	68	0.093841642	0.32	0.145124717	0.906158358	341
58	MaAsLin3	31	10	69	0.756097561	0.31	0.439716312	0.243902439	41
58	Union	82	863	18	0.086772487	0.82	0.156937799	0.913227513	945
58	Vote_2of7	75	268	25	0.218658892	0.75	0.338600451	0.781341108	343
58	Vote_3of7	71	49	29	0.591666667	0.71	0.645454545	0.408333333	120
58	Vote_4of7	65	8	35	0.890410959	0.65	0.751445087	0.109589041	73
58	Vote_5of7	54	2	46	0.964285714	0.54	0.692307692	0.035714286	56
58	Vote_6of7	35	1	65	0.972222222	0.35	0.514705882	0.027777778	36
58	Intersect	28	0	72	1	0.28	0.4375	0	28
58	Fisher	79	539	21	0.127831715	0.79	0.22005571	0.872168285	618
58	Stouffer	77	352	23	0.179487179	0.77	0.291115312	0.820512821	429
58	Cauchy	80	613	20	0.115440115	0.8	0.201765448	0.884559885	693
59	edgeR	80	633	20	0.112201964	0.8	0.196801968	0.887798036	713
59	DESeq2	70	80	30	0.466666667	0.7	0.56	0.533333333	150
59	ALDEx2	62	0	38	1	0.62	0.765432099	0	62
59	metaSeq	77	12	23	0.865168539	0.77	0.814814815	0.134831461	89
59	ADAPT	77	5	23	0.93902439	0.77	0.846153846	0.06097561	82
59	ANCOMBC2	40	298	60	0.118343195	0.4	0.182648402	0.881656805	338
59	MaAsLin3	37	6	63	0.860465116	0.37	0.517482517	0.139534884	43
59	Union	80	789	20	0.092059839	0.8	0.165118679	0.907940161	869
59	Vote_2of7	77	199	23	0.278985507	0.77	0.409574468	0.721014493	276
59	Vote_3of7	77	37	23	0.675438596	0.77	0.719626168	0.324561404	114
59	Vote_4of7	70	8	30	0.897435897	0.7	0.786516854	0.102564103	78
59	Vote_5of7	62	1	38	0.984126984	0.62	0.760736196	0.015873016	63
59	Vote_6of7	43	0	57	1	0.43	0.601398601	0	43
59	Intersect	34	0	66	1	0.34	0.507462687	0	34
59	Fisher	79	493	21	0.138111888	0.79	0.235119048	0.861888112	572
59	Stouffer	77	318	23	0.194936709	0.77	0.311111111	0.805063291	395
59	Cauchy	78	559	22	0.12244898	0.78	0.211668928	0.87755102	637
60	edgeR	84	781	16	0.097109827	0.84	0.174093264	0.902890173	865
60	DESeq2	64	120	36	0.347826087	0.64	0.450704225	0.652173913	184
60	ALDEx2	55	1	45	0.982142857	0.55	0.705128205	0.017857143	56
60	metaSeq	70	8	30	0.897435897	0.7	0.786516854	0.102564103	78
60	ADAPT	72	15	28	0.827586207	0.72	0.770053476	0.172413793	87
60	ANCOMBC2	41	335	59	0.109042553	0.41	0.172268908	0.890957447	376
60	MaAsLin3	37	7	63	0.840909091	0.37	0.513888889	0.159090909	44
60	Union	85	923	15	0.084325397	0.85	0.153429603	0.915674603	1008
60	Vote_2of7	72	276	28	0.206896552	0.72	0.321428571	0.793103448	348
60	Vote_3of7	71	57	29	0.5546875	0.71	0.622807018	0.4453125	128
60	Vote_4of7	64	7	36	0.901408451	0.64	0.748538012	0.098591549	71
60	Vote_5of7	54	3	46	0.947368421	0.54	0.687898089	0.052631579	57
60	Vote_6of7	44	1	56	0.977777778	0.44	0.606896552	0.022222222	45
60	Intersect	33	0	67	1	0.33	0.496240602	0	33
60	Fisher	82	638	18	0.113888889	0.82	0.2	0.886111111	720
60	Stouffer	79	439	21	0.152509653	0.79	0.25566343	0.847490347	518
60	Cauchy	81	727	19	0.100247525	0.81	0.178414097	0.899752475	808
61	edgeR	79	786	21	0.09132948	0.79	0.16373057	0.90867052	865
61	DESeq2	64	106	36	0.376470588	0.64	0.474074074	0.623529412	170
61	ALDEx2	55	3	45	0.948275862	0.55	0.696202532	0.051724138	58
61	metaSeq	69	16	31	0.811764706	0.69	0.745945946	0.188235294	85
61	ADAPT	69	7	31	0.907894737	0.69	0.784090909	0.092105263	76
61	ANCOMBC2	34	407	66	0.077097506	0.34	0.125693161	0.922902494	441
61	MaAsLin3	34	12	66	0.739130435	0.34	0.465753425	0.260869565	46
61	Union	80	925	20	0.07960199	0.8	0.14479638	0.92039801	1005
61	Vote_2of7	70	329	30	0.175438596	0.7	0.280561122	0.824561404	399
61	Vote_3of7	68	60	32	0.53125	0.68	0.596491228	0.46875	128
61	Vote_4of7	63	16	37	0.797468354	0.63	0.703910615	0.202531646	79
61	Vote_5of7	55	6	45	0.901639344	0.55	0.683229814	0.098360656	61
61	Vote_6of7	39	1	61	0.975	0.39	0.557142857	0.025	40
61	Intersect	29	0	71	1	0.29	0.449612403	0	29
61	Fisher	78	607	22	0.113868613	0.78	0.198726115	0.886131387	685
61	Stouffer	75	424	25	0.150300601	0.75	0.250417362	0.849699399	499
61	Cauchy	78	677	22	0.103311258	0.78	0.18245614	0.896688742	755
62	edgeR	78	678	22	0.103174603	0.78	0.182242991	0.896825397	756
62	DESeq2	61	129	39	0.321052632	0.61	0.420689655	0.678947368	190
62	ALDEx2	47	2	53	0.959183673	0.47	0.630872483	0.040816327	49
62	metaSeq	70	11	30	0.864197531	0.7	0.773480663	0.135802469	81
62	ADAPT	73	6	27	0.924050633	0.73	0.815642458	0.075949367	79
62	ANCOMBC2	31	313	69	0.090116279	0.31	0.13963964	0.909883721	344
62	MaAsLin3	31	5	69	0.861111111	0.31	0.455882353	0.138888889	36
62	Union	83	833	17	0.090611354	0.83	0.163385827	0.909388646	916
62	Vote_2of7	71	256	29	0.217125382	0.71	0.332552693	0.782874618	327
62	Vote_3of7	68	39	32	0.635514019	0.68	0.657004831	0.364485981	107
62	Vote_4of7	60	10	40	0.857142857	0.6	0.705882353	0.142857143	70
62	Vote_5of7	47	3	53	0.94	0.47	0.626666667	0.06	50
62	Vote_6of7	34	2	66	0.944444444	0.34	0.5	0.055555556	36
62	Intersect	28	1	72	0.965517241	0.28	0.434108527	0.034482759	29
62	Fisher	81	537	19	0.131067961	0.81	0.225626741	0.868932039	618
62	Stouffer	77	337	23	0.185990338	0.77	0.299610895	0.814009662	414
62	Cauchy	81	616	19	0.116212339	0.81	0.203262233	0.883787661	697
63	edgeR	76	805	24	0.086265607	0.76	0.154943935	0.913734393	881
63	DESeq2	61	155	39	0.282407407	0.61	0.386075949	0.717592593	216
63	ALDEx2	60	11	40	0.845070423	0.6	0.701754386	0.154929577	71
63	metaSeq	67	27	33	0.712765957	0.67	0.690721649	0.287234043	94
63	ADAPT	68	10	32	0.871794872	0.68	0.764044944	0.128205128	78
63	ANCOMBC2	38	368	62	0.093596059	0.38	0.150197628	0.906403941	406
63	MaAsLin3	37	20	63	0.649122807	0.37	0.47133758	0.350877193	57
63	Union	80	938	20	0.078585462	0.8	0.143112701	0.921414538	1018
63	Vote_2of7	68	320	32	0.175257732	0.68	0.278688525	0.824742268	388
63	Vote_3of7	67	100	33	0.401197605	0.67	0.501872659	0.598802395	167
63	Vote_4of7	60	25	40	0.705882353	0.6	0.648648649	0.294117647	85
63	Vote_5of7	58	11	42	0.84057971	0.58	0.686390533	0.15942029	69
63	Vote_6of7	42	2	58	0.954545455	0.42	0.583333333	0.045454545	44
63	Intersect	32	0	68	1	0.32	0.484848485	0	32
63	Fisher	78	678	22	0.103174603	0.78	0.182242991	0.896825397	756
63	Stouffer	73	461	27	0.13670412	0.73	0.230283912	0.86329588	534
63	Cauchy	79	750	21	0.095295537	0.79	0.17007535	0.904704463	829
64	edgeR	76	684	24	0.1	0.76	0.176744186	0.9	760
64	DESeq2	60	123	40	0.327868852	0.6	0.424028269	0.672131148	183
64	ALDEx2	53	3	47	0.946428571	0.53	0.679487179	0.053571429	56
64	metaSeq	68	14	32	0.829268293	0.68	0.747252747	0.170731707	82
64	ADAPT	69	12	31	0.851851852	0.69	0.762430939	0.148148148	81
64	ANCOMBC2	38	395	62	0.087759815	0.38	0.142589118	0.912240185	433
64	MaAsLin3	33	1	67	0.970588235	0.33	0.492537313	0.029411765	34
64	Union	76	826	24	0.084257206	0.76	0.151696607	0.915742794	902
64	Vote_2of7	69	308	31	0.183023873	0.69	0.289308176	0.816976127	377
64	Vote_3of7	69	82	31	0.456953642	0.69	0.549800797	0.543046358	151
64	Vote_4of7	60	14	40	0.810810811	0.6	0.689655172	0.189189189	74
64	Vote_5of7	53	2	47	0.963636364	0.53	0.683870968	0.036363636	55
64	Vote_6of7	38	0	62	1	0.38	0.550724638	0	38
64	Intersect	32	0	68	1	0.32	0.484848485	0	32
64	Fisher	75	549	25	0.120192308	0.75	0.20718232	0.879807692	624
64	Stouffer	73	397	27	0.155319149	0.73	0.256140351	0.844680851	470
64	Cauchy	75	605	25	0.110294118	0.75	0.192307692	0.889705882	680
65	edgeR	81	759	19	0.096428571	0.81	0.172340426	0.903571429	840
65	DESeq2	61	115	39	0.346590909	0.61	0.442028986	0.653409091	176
65	ALDEx2	55	3	45	0.948275862	0.55	0.696202532	0.051724138	58
65	metaSeq	67	18	33	0.788235294	0.67	0.724324324	0.211764706	85
65	ADAPT	74	11	26	0.870588235	0.74	0.8	0.129411765	85
65	ANCOMBC2	37	270	63	0.120521173	0.37	0.181818182	0.879478827	307
65	MaAsLin3	34	7	66	0.829268293	0.34	0.482269504	0.170731707	41
65	Union	82	856	18	0.087420043	0.82	0.157996146	0.912579957	938
